trans_id,lang,translation
宮原７丁目,ja-Hrkt,みやはらななちょうめ
宮原７丁目,en,Miyahara-nanachome (Miyahara 7)
宮原７丁目,ko,미야하라 7초메
宮原７丁目,zh-ch,宫原7丁目
宮原７丁目,zh-tw,宮原7丁目
本通５丁目,ja,本通５丁目
本通５丁目,ja-Hrkt,ほんどおりごちょうめ
上沖,ja,上沖
上沖,ja-Hrkt,うわおき
赤崎,ja,赤崎
赤崎,ja-Hrkt,あかさき
赤崎,en,Akasaki
赤崎,ko,아카사키
赤崎,zh-ch,赤崎
赤崎,zh-tw,赤崎
的場町,ja,的場町
的場町,ja-Hrkt,まとばちょう
兎の口,ja,兎の口
兎の口,ja-Hrkt,うさぎのくち
本浦,ja,本浦
本浦,ja-Hrkt,ほんうら
阿品台公園前,ja,阿品台公園前
阿品台公園前,ja-Hrkt,あじなだいこうえんまえ
昭和台,ja,昭和台
昭和台,ja-Hrkt,しょうわだい
昭和台,en,Showadai
昭和台,ko,쇼와다이
昭和台,zh-ch,昭和台
昭和台,zh-tw,昭和臺
阿品台西,ja,阿品台西
阿品台西,ja-Hrkt,あじなだいにし
阿品台西,en,Ajinadai-nishi
阿品台西,ko,아지나다이 니시
阿品台西,zh-ch,阿品台西
阿品台西,zh-tw,阿品臺西
熊野第三小学校,ja,熊野第三小学校
熊野第三小学校,ja-Hrkt,くまのだいさんしょうがっこう
府中中学校東門,ja,府中中学校東門
府中中学校東門,ja-Hrkt,ふちゅうちゅうがっこうひがしもん
大学病院前,ja,大学病院前
大学病院前,ja-Hrkt,だいがくびょういんまえ
上津浪,ja,上津浪
上津浪,ja-Hrkt,かみつなみ
上津浪,en,Kami-tsunami
上津浪,ko,가미쓰나미
上津浪,zh-ch,上津浪
上津浪,zh-tw,上津浪
久保角橋,ja,久保角橋
久保角橋,ja-Hrkt,くぼすみばし
仲間ヶ原,ja,仲間ヶ原
仲間ヶ原,ja-Hrkt,なかまがはら
鍋石,ja,鍋石
鍋石,ja-Hrkt,なべいし
戸谷,ja,戸谷
戸谷,ja-Hrkt,とだに
四季が丘中央,ja,四季が丘中央
四季が丘中央,ja-Hrkt,しきがおかちゅうおう
阿賀駅前,ja,阿賀駅前
阿賀駅前,ja-Hrkt,あがえきまえ
広島駅新幹線口,ja,広島駅新幹線口
広島駅新幹線口,ja-Hrkt,ひろしまえきしんかんせんぐち
安田女子大入口,ja,安田女子大入口
安田女子大入口,ja-Hrkt,やすだじょしだいいりぐち
西広島駅・己斐,ja,西広島駅・己斐
西広島駅・己斐,ja-Hrkt,にしひろしまえき・こい
中大林,ja,中大林
中大林,ja-Hrkt,なかおおばやし
桜ヶ丘団地,ja,桜ヶ丘団地
桜ヶ丘団地,ja-Hrkt,さくらがおかだんち
桜ヶ丘団地,en,Sakuragaoka Danchi
桜ヶ丘団地,ko,사쿠라가오카 단치
桜ヶ丘団地,zh-ch,樱丘团地
桜ヶ丘団地,zh-tw,櫻丘團地
眼鏡橋,ja,眼鏡橋
眼鏡橋,ja-Hrkt,めがねばし
大学病院南門,ja,大学病院南門
大学病院南門,ja-Hrkt,だいがくびょういんみなみもん
新住吉橋,ja,新住吉橋
新住吉橋,ja-Hrkt,しんすみよしばし
中田口,en,Nakata-guchi
中田口,ko,나카타 구치
中田口,zh-ch,中田口
中田口,zh-tw,中田口
政畝団地入口,ja,政畝団地入口
政畝団地入口,ja-Hrkt,まさうねだんちいりぐち
政畝団地入口,en,Masaune Danchi-iriguchi
政畝団地入口,ko,마사우네 단치 이리구치
政畝団地入口,zh-ch,政亩团地入口
政畝団地入口,zh-tw,政畝團地入口
三次駅前,ja,三次駅前
三次駅前,ja-Hrkt,みよしえきまえ
三次駅前,en,Miyoshi Sta.
三次駅前,ko,미요시 역
三次駅前,zh-ch,三次站前
三次駅前,zh-tw,三次站前
下八木,ja,下八木
下八木,ja-Hrkt,しもやぎ
下八木,en,Shimo-yagi
下八木,ko,시모야기
下八木,zh-ch,下八木
下八木,zh-tw,下八木
神崎,ja,神崎
神崎,ja-Hrkt,かんざき
下大毛寺,ja,下大毛寺
下大毛寺,ja-Hrkt,しもおおもじ
広島工大上,ja,広島工大上
広島工大上,ja-Hrkt,ひろしまこうだいうえ
楠那町,ja,楠那町
楠那町,ja-Hrkt,くすなちょう
大原駅,ja,大原駅
大原駅,ja-Hrkt,おおばらえき
南観音三丁目,ja,南観音三丁目
南観音三丁目,ja-Hrkt,みなみかんおんさんちょうめ
体育館前,ja,体育館前
体育館前,ja-Hrkt,たいいくかんまえ
体育館前,en,Taiikukan-mae
体育館前,ko,체육관
体育館前,zh-ch,体育馆前
体育館前,zh-tw,體育館前
総監部前,ja,総監部前
総監部前,ja-Hrkt,そうかんぶまえ
総監部前,en,Sokambu-mae
総監部前,ko,소칸부 마에
総監部前,zh-ch,总监部前
総監部前,zh-tw,總監部前
大須三丁目,ja,大須三丁目
大須三丁目,ja-Hrkt,おおすさんちょうめ
仁保中学校前,ja,仁保中学校前
仁保中学校前,ja-Hrkt,にほちゅうがっこうまえ
向洋本町,ja,向洋本町
向洋本町,ja-Hrkt,むかいなだほんまち
向洋本町,en,Mukainada-honmachi
向洋本町,ko,무카이나다 혼마치
向洋本町,zh-ch,向洋本町
向洋本町,zh-tw,向洋本町
段原中央,ja,段原中央
段原中央,ja-Hrkt,だんばらちゅうおう
福王寺口,ja,福王寺口
福王寺口,ja-Hrkt,ふくおうじぐち
福王寺口,en,Fukuoji-guchi (Fukuoji Temple)
福王寺口,ko,후쿠오지 절
福王寺口,zh-ch,福王寺口
福王寺口,zh-tw,福王寺口
中地上,ja,中地上
中地上,ja-Hrkt,なかじかみ
石内農協,ja,石内農協
石内農協,ja-Hrkt,いしうちのうきょう
広島はくしま病院,ja,広島はくしま病院
広島はくしま病院,ja-Hrkt,ひろしまはくしまびょういん
広島はくしま病院,en,Hiroshima Hakushima Byoin(Hiroshima Hakushima Hospital)
広島はくしま病院,ko,히로시마 하쿠시마 병원
広島はくしま病院,zh-ch,广岛白岛医院
広島はくしま病院,zh-tw,廣島白島醫院
貿易倉庫前,ja,貿易倉庫前
貿易倉庫前,ja-Hrkt,ぼうえきそうこまえ
貿易倉庫前,en,Boeki Soko-mae
貿易倉庫前,ko,보에키 소코 마에
貿易倉庫前,zh-ch,贸易仓库前
貿易倉庫前,zh-tw,貿易倉庫前
薬師が丘入口,ja,薬師が丘入口
薬師が丘入口,ja-Hrkt,やくしがおかいりぐち
五日市中央公民館,ja,五日市中央公民館
五日市中央公民館,ja-Hrkt,いつかいちちゅうおうこうみんか
