service_id,date,exception_type
28073598-d39b-4485-b100-3e4ff7a50f61,20240109,1
46111879-7cb3-48e5-af85-5fcf4051b495,20240109,1
888a08e4-4634-4a12-bb2e-00c841a62b40,20240109,1
96b777eb-8ec8-4c32-b4f5-c2bd137fa4bb,20240109,1
e38f1688-13f6-4218-9c75-aadf4798ef9a,20240109,1
a80d9e11-a3c4-45ab-b0de-1b137e4e9139,20240109,1
29f45b76-b165-470e-9fc4-b4c426b27645,20240109,1
db13fd36-4245-4457-8456-1d968d1dedfe,20240110,1
29f45b76-b165-470e-9fc4-b4c426b27645,20240110,1
e38f1688-13f6-4218-9c75-aadf4798ef9a,20240110,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20240110,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20240110,1
46111879-7cb3-48e5-af85-5fcf4051b495,20240110,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20240110,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20240110,1
888a08e4-4634-4a12-bb2e-00c841a62b40,20240110,1
96b777eb-8ec8-4c32-b4f5-c2bd137fa4bb,20240110,1
a80d9e11-a3c4-45ab-b0de-1b137e4e9139,20240110,1
28073598-d39b-4485-b100-3e4ff7a50f61,20240110,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20240110,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20240110,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20240110,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20240110,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20240110,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20240110,1
ff256ba8-6db8-4052-ac69-35fe15717743,20240110,1
28073598-d39b-4485-b100-3e4ff7a50f61,20240111,1
46111879-7cb3-48e5-af85-5fcf4051b495,20240111,1
888a08e4-4634-4a12-bb2e-00c841a62b40,20240111,1
96b777eb-8ec8-4c32-b4f5-c2bd137fa4bb,20240111,1
e38f1688-13f6-4218-9c75-aadf4798ef9a,20240111,1
a80d9e11-a3c4-45ab-b0de-1b137e4e9139,20240111,1
29f45b76-b165-470e-9fc4-b4c426b27645,20240111,1
db13fd36-4245-4457-8456-1d968d1dedfe,20240112,1
29f45b76-b165-470e-9fc4-b4c426b27645,20240112,1
e38f1688-13f6-4218-9c75-aadf4798ef9a,20240112,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20240112,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20240112,1
